Month,Tweets,Profile_visits,New_followers,Mentions,Tweet Impressions
Jun 2022,209,823000,1744,846,2270000
May 2022,156,391000,1656,391,1490000
Apr 2022,169,554000,1867,461,1930000
Mar 2022,159,232000,398,337,1150000
Feb 2022,90,187000,712,223,780000
Jan 2022,92,260000,1488,258,949000
Dec 2021,95,191000,827,193,739000
Nov 2021,71,84000,605,156,528000
Oct 2021,83,95600,400,222,600000
Sep 2021,47,158000,2577,107,540000
Aug 2021,88,90200,336,108,508000
July 2021,76,125000,603,179,573000
Jun 2021,46,20800,113,65,190000
May 2021,65,20100,169,61,250000